,start_station_name,value
1689,West St & Chambers St,1244
1559,W 21 St & 6 Ave,1211
491,Broadway & W 58 St,1129
284,6 Ave & W 33 St,1029
481,Broadway & W 25 St,1020
1575,W 31 St & 7 Ave,1004
8,1 Ave & E 68 St,1003
1484,University Pl & E 14 St,986
459,Broadway & E 21 St,964
457,Broadway & E 14 St,924
1690,West St & Liberty St,920
557,Central Park S & 6 Ave,919
29,12 Ave & W 40 St,901
285,6 Ave & W 34 St,890
789,E 40 St & Park Ave,883
584,Cleveland Pl & Spring St,866
781,E 33 St & 1 Ave,866
24,11 Ave & W 41 St,864
326,8 Ave & W 33 St,860
1094,Lafayette St & E 8 St,855
